Watchmen,DC Comics,Alan Moore,Dave Gibbons,416
Maus,Pantheon Books,Art Spiegelman,Art Spiegelman,296
Batman: Year One,DC Comics,Frank Miller,David Mazzucchelli,144
Saga,Image Comics,Brian K. Vaughan,Fiona Staples,160
Sandman: Preludes and Nocturnes,Vertigo,Neil Gaiman,Sam Kieth,240
V for Vendetta,Vertigo,Alan Moore,David Lloyd,296
Spider-Man: Blue,Marvel Comics,Jeph Loeb,Tim Sale,144
Bone,Scholastic,Jeff Smith,Jeff Smith,1332
Akira,Kodansha,Katsuhiro Otomo,Katsuhiro Otomo,2100
One Piece,Shueisha,Eiichiro Oda,Eiichiro Oda,192
