The Legend of Zelda: Breath of the Wild,Nintendo Switch,Action-Adventure,Nintendo,97
Red Dead Redemption 2,PlayStation 4,Action-Adventure,Rockstar Games,96
God of War (2018),PlayStation 4,Action,Santa Monica Studio,97
Elden Ring,PlayStation 5,RPG,FromSoftware,95
Hollow Knight,PC,Metroidvania,Team Cherry,90
The Witcher 3: Wild Hunt,PC,RPG,CD Projekt Red,93
Super Mario Odyssey,Nintendo Switch,Platform,Nintendo,97
Celeste,PC,Platform,Extremely OK Games,91
Dark Souls III,PC,RPG,FromSoftware,89
Minecraft,PC,Sandbox,Mojang Studios,89
